Country,Clicks,Impressions,CTR,Position
Canada,29,4084,0.71%,35.5
United States,28,7013,0.4%,13.57
Russia,2,11,18.18%,9.82
India,1,59,1.69%,16.44
Italy,1,22,4.55%,7.09
Netherlands,0,201,0%,7.47
Germany,0,201,0%,8.15
United Kingdom,0,130,0%,26.67
France,0,94,0%,8.18
Brazil,0,69,0%,8.87
Mexico,0,45,0%,8.38
Argentina,0,42,0%,9.67
China,0,26,0%,8.65
Spain,0,21,0%,8.52
Australia,0,21,0%,9
Japan,0,20,0%,10.9
South Korea,0,16,0%,8.69
Vietnam,0,14,0%,10.07
Philippines,0,13,0%,14.69
Indonesia,0,13,0%,16.77
Colombia,0,11,0%,8.91
Ecuador,0,11,0%,10.73
Malaysia,0,10,0%,9.7
Ireland,0,10,0%,21.8
Ukraine,0,9,0%,6.89
Hong Kong,0,9,0%,8.22
Pakistan,0,8,0%,5.88
Nigeria,0,8,0%,6.75
Thailand,0,8,0%,9.25
Dominican Republic,0,8,0%,10.12
South Africa,0,7,0%,17.43
Austria,0,6,0%,6
Poland,0,6,0%,6.5
Belgium,0,6,0%,8.33
Portugal,0,6,0%,9
Bangladesh,0,6,0%,10
Turkey,0,6,0%,10.17
United Arab Emirates,0,5,0%,3.6
Israel,0,5,0%,6
Switzerland,0,5,0%,8.4
Ghana,0,4,0%,4
Puerto Rico,0,4,0%,8.25
Latvia,0,4,0%,9.75
Norway,0,4,0%,11.25
Greece,0,4,0%,23
Kenya,0,3,0%,4
Chile,0,3,0%,5.33
Venezuela,0,3,0%,5.67
Bolivia,0,3,0%,9.33
Peru,0,3,0%,12
Jordan,0,3,0%,22
Romania,0,3,0%,32.33
Ethiopia,0,2,0%,1
New Zealand,0,2,0%,5
Belarus,0,2,0%,5.5
Lebanon,0,2,0%,5.5
Singapore,0,2,0%,5.5
Sint Maarten,0,2,0%,5.5
Finland,0,2,0%,6
Sweden,0,2,0%,7
Cuba,0,2,0%,7.5
Denmark,0,2,0%,7.5
Uruguay,0,2,0%,7.5
Kazakhstan,0,2,0%,8
Costa Rica,0,2,0%,8.5
Nepal,0,2,0%,8.5
Afghanistan,0,2,0%,9
Burundi,0,2,0%,9
Panama,0,2,0%,9
Albania,0,2,0%,12
Morocco,0,2,0%,17
Zimbabwe,0,2,0%,19.5
Jamaica,0,2,0%,24.5
Samoa,0,1,0%,1
Botswana,0,1,0%,3
Taiwan,0,1,0%,3
Sudan,0,1,0%,4
Sierra Leone,0,1,0%,4
Slovakia,0,1,0%,4
Tunisia,0,1,0%,4
Angola,0,1,0%,6
Bulgaria,0,1,0%,6
Croatia,0,1,0%,6
Senegal,0,1,0%,6
Serbia,0,1,0%,6
Egypt,0,1,0%,7
Iran,0,1,0%,7
Cambodia,0,1,0%,7
St. Lucia,0,1,0%,7
Sri Lanka,0,1,0%,8
Macedonia,0,1,0%,8
Papua New Guinea,0,1,0%,8
Saudi Arabia,0,1,0%,8
Myanmar (Burma),0,1,0%,9
Slovenia,0,1,0%,9
Curaçao,0,1,0%,10
Hungary,0,1,0%,10
Palestine,0,1,0%,10
Benin,0,1,0%,11
Cyprus,0,1,0%,11
Kuwait,0,1,0%,11
Paraguay,0,1,0%,11
Uganda,0,1,0%,11
Cayman Islands,0,1,0%,13
Bahamas,0,1,0%,14
Algeria,0,1,0%,16
Iraq,0,1,0%,16
Bahrain,0,1,0%,20
Cape Verde,0,1,0%,20
Madagascar,0,1,0%,21
